"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_index","Bn","ka","dn0","more_nat_preds_cat"
"201","8.2","0",0.851851851851852,"a",0.779661016949153,0.014712968010485,11.5,0,59,0.0325910785185769,6,1,1.2,1,1
"202","8.8","0",0.851851851851852,"a",0.779661016949153,0.015106914036291,12,0,59,0.0359095039986148,6,1,1.2,1,1
"203","9.4","0",0.851851851851852,"a",0.779661016949153,0.0154747763291561,12.6,0,59,0.0395126110113193,6,1,1.2,1,1
"204","10","0",0.851851851851852,"a",0.779661016949153,0.0157878221211753,13.2,0,59,0.0437808575942333,6,1,1.2,1,1
"205","7.1","1",0.0185185185185185,"a",0.0169491525423729,0.0139754254115289,10.9,0,59,0.0279864343182139,6,1,1.2,1,1
"206","7.6","1",0.0185185185185185,"a",0.0169491525423729,0.0143210733592902,11.2,0,59,0.0300768123508457,6,1,1.2,1,1
"207","8.2","1",0.0185185185185185,"a",0.0169491525423729,0.014712968010485,11.5,0,59,0.0325910785185769,6,1,1.2,1,1
"208","8.8","1",0.0185185185185185,"a",0.0169491525423729,0.015106914036291,12,0,59,0.0359095039986148,6,1,1.2,1,1
"209","9.4","1",0.0185185185185185,"a",0.0169491525423729,0.0154747763291561,12.6,0,59,0.0395126110113193,6,1,1.2,1,1
"210","10","1",0.0185185185185185,"a",0.0169491525423729,0.0157878221211753,13.2,0,59,0.0437808575942333,6,1,1.2,1,1
"211","7.1","2",0.12962962962963,"a",0.11864406779661,0.0139754254115289,10.9,0,59,0.0279864343182139,6,1,1.2,1,1
"212","7.6","2",0.12962962962963,"a",0.11864406779661,0.0143210733592902,11.2,0,59,0.0300768123508457,6,1,1.2,1,1
"213","8.2","2",0.12962962962963,"a",0.11864406779661,0.014712968010485,11.5,0,59,0.0325910785185769,6,1,1.2,1,1
"214","8.8","2",0.12962962962963,"a",0.11864406779661,0.015106914036291,12,0,59,0.0359095039986148,6,1,1.2,1,1
"215","9.4","2",0.12962962962963,"a",0.11864406779661,0.0154747763291561,12.6,0,59,0.0395126110113193,6,1,1.2,1,1
"216","10","2",0.12962962962963,"a",0.11864406779661,0.0157878221211753,13.2,0,59,0.0437808575942333,6,1,1.2,1,1
"217","7.1","0",0,"n",0,0.0142590865255036,10.9,0,59,0.0279864343182139,7,0.9,1.2,1,2
