"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","N","yn","ya","iter_id"
"2930",50,"7.1",14,"n",0.949057742844018,0.0228613981577836,2,0.0577772506570918,19.7,0.75,0.7,1,11
"2931",51,"7.1",16,"n",0.941087077783074,0.0240885218314277,1,0.0543734239832227,19.7,0.75,0.7,1,11
"2932",52,"7.1",17,"n",0.949123800484394,0.0255964855963948,0,0.0516071108163056,19.9,0.75,0.7,1,11
"2933",53,"7.1",17,"n",0.949285056539388,0.0269685425476965,0,0.0489898591090911,20.4,0.75,0.7,1,11
"2934",54,"7.1",17,"n",0.949441011079001,0.0284093195841617,0,0.0465129813651533,20.9,0.75,0.7,1,11
"2935",55,"7.1",17,"n",0.949591958903095,0.0299221534067458,2,0.0441683530889591,21.4,0.75,0.7,1,11
"2936",56,"7.1",19,"n",0.941617126529166,0.0315105378959926,1,0.0415896777191513,21.4,0.75,0.7,1,11
"2937",57,"7.1",20,"a",0.910387391777786,0.0334642786417251,2,0.0378627182236168,21.6,0.75,0.7,1,11
"2938",58,"7.1",22,"n",0.949621571973978,0.0367582843786718,2,0.0359552539987188,21.5,0.75,0.7,1,11
"2939",59,"7.1",24,"n",0.949621571973978,0.0387083502139303,2,0.034143884822987,21.5,0.75,0.7,1,11
"2940",60,"7.1",26,"o",NA,NA,NA,NA,21.5,0.75,0.7,1,11
"2941",1,"7.6",1,"n",0.941603812351754,0.00157758984296225,0,0.941603812351754,7.6,0.75,0.7,1,11
"2942",2,"7.6",1,"n",0.941843007891058,0.00167542847880156,0,0.886842966867064,7.8,0.75,0.7,1,11
"2943",3,"7.6",1,"n",0.942073998824681,0.00177888296113502,0,0.835471700125999,8,0.75,0.7,1,11
"2944",4,"7.6",1,"n",0.942297260902792,0.00188826245428101,0,0.787262694590528,8.2,0.75,0.7,1,11
"2945",5,"7.6",1,"n",0.942513231552886,0.00200389254286053,0,0.742005506359551,8.4,0.75,0.7,1,11
"2946",6,"7.6",1,"n",0.942722313791404,0.00212611608598737,0,0.699505147801238,8.6,0.75,0.7,1,11
"2947",7,"7.6",1,"n",0.942924879655753,0.00225529411459101,0,0.659580807309062,8.8,0.75,0.7,1,11
"2948",8,"7.6",1,"n",0.943121273224928,0.00239180677406071,0,0.622064690784049,9,0.75,0.7,1,11
"2949",9,"7.6",1,"n",0.943311813285994,0.00253605431450201,0,0.586800971444692,9.2,0.75,0.7,1,11
"2950",10,"7.6",1,"n",0.943496795694609,0.00268845813100523,0,0.553644836268551,9.4,0.75,0.7,1,11
"2951",11,"7.6",1,"n",0.943676495470409,0.00284946185644008,0,0.522461618825194,9.6,0.75,0.7,1,11
"2952",12,"7.6",1,"n",0.935921127806396,0.00301953250941115,1,0.488982867526431,9.8,0.75,0.7,1,11
"2953",13,"7.6",2,"n",0.94393669552925,0.00322626813275206,0,0.461568872143316,9.9,0.75,0.7,1,11
"2954",14,"7.6",2,"n",0.944186374436152,0.00341788612311883,0,0.435807039941582,10.2,0.75,0.7,1,11
"2955",15,"7.6",2,"n",0.944426248136896,0.0036199273953301,0,0.411587607643674,10.5,0.75,0.7,1,11
"2956",16,"7.6",2,"n",0.944656965182597,0.00383293814892508,0,0.388809100343439,10.8,0.75,0.7,1,11
"2957",17,"7.6",2,"n",0.944879114736725,0.0040574920740506,0,0.367377598534091,11.1,0.75,0.7,1,11
"2958",18,"7.6",2,"n",0.945093233443681,0.00429419172333083,0,0.347206082493359,11.4,0.75,0.7,1,11
"2959",19,"7.6",2,"n",0.937358465883259,0.0045436699485022,1,0.325456560831311,11.7,0.75,0.7,1,11
"2960",20,"7.6",3,"n",0.945433563691404,0.00484731307592209,2,0.307697556133495,11.9,0.75,0.7,1,11
"2961",21,"7.6",5,"n",0.93749117454292,0.00512707953480726,1,0.288463743303576,11.9,0.75,0.7,1,11
"2962",22,"7.6",6,"a",0.904790179508175,0.0054689363207147,2,0.260999162085243,12.1,0.75,0.7,1,11
"2963",23,"7.6",8,"n",0.945564288284082,0.00604442493362108,0,0.246791486939874,12.1,0.75,0.7,1,11
"2964",24,"7.6",8,"n",0.945754951921378,0.00639239976436706,0,0.233404270865426,12.4,0.75,0.7,1,11
"2965",25,"7.6",8,"n",0.945939432532175,0.00675904445583963,0,0.220786303533027,12.7,0.75,0.7,1,11
"2966",26,"7.6",8,"n",0.946118069443146,0.0071453247675133,0,0.208889911258156,13,0.75,0.7,1,11
"2967",27,"7.6",8,"n",0.946291176081568,0.00755225483825587,0,0.197670679796055,13.3,0.75,0.7,1,11
"2968",28,"7.6",8,"n",0.946459042483044,0.00798089956785657,0,0.187087202326747,13.6,0.75,0.7,1,11
"2969",29,"7.6",8,"n",0.946621937507264,0.00843237711260976,0,0.177100849949358,13.9,0.75,0.7,1,11
"2970",30,"7.6",8,"n",0.946780110801216,0.00890786150045783,0,0.167675562338043,14.2,0.75,0.7,1,11
"2971",31,"7.6",8,"n",0.946933794543335,0.00940858537144335,0,0.158777656496951,14.5,0.75,0.7,1,11
"2972",32,"7.6",8,"n",0.947083204996972,0.00993584284947893,0,0.15037565179704,14.8,0.75,0.7,1,11
"2973",33,"7.6",8,"n",0.947276118340117,0.0104909925517164,0,0.142447263727165,15.2,0.75,0.7,1,11
"2974",34,"7.6",8,"n",0.947462233796753,0.0110749045063011,0,0.134963402689175,15.6,0.75,0.7,1,11
"2975",35,"7.6",8,"n",0.947641955901329,0.0116890194788248,0,0.127896982899469,16,0.75,0.7,1,11
"2976",36,"7.6",8,"n",0.947815655773272,0.0123348479940476,0,0.121222762718283,16.4,0.75,0.7,1,11
"2977",37,"7.6",8,"n",0.947983674611988,0.0130139736761198,0,0.114917200048295,16.8,0.75,0.7,1,11
"2978",38,"7.6",8,"n",0.948146326753019,0.0137280567425873,0,0.108958321106533,17.2,0.75,0.7,1,11
"2979",39,"7.6",8,"n",0.948303902349248,0.0144788376595834,0,0.103325601098747,17.6,0.75,0.7,1,11
"2980",40,"7.6",8,"n",0.948456669730523,0.0152681409659021,0,0.0979998555160224,18,0.75,0.7,1,11
"2981",41,"7.6",8,"n",0.94860487748644,0.0160978792739579,0,0.0929631409354652,18.4,0.75,0.7,1,11
"2982",42,"7.6",8,"n",0.948748756310028,0.0169700574559696,0,0.0881986643451965,18.8,0.75,0.7,1,11
"2983",43,"7.6",8,"n",0.948888520634189,0.0178867770240578,0,0.0836907001324248,19.2,0.75,0.7,1,11
"2984",44,"7.6",8,"n",0.949024370087992,0.0188502407133171,2,0.0794245139753975,19.6,0.75,0.7,1,11
"2985",45,"7.6",10,"n",0.949024370087992,0.0198627572773177,2,0.0753757993450465,19.6,0.75,0.7,1,11
