"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn","Bn","ka","dn0"
"18","10","2",0.238095238095238,"n",0.178571428571429,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1
"19","7.1","0",0.642857142857143,"a",0.310344827586207,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1
"20","7.6","0",0.428571428571429,"a",0.222222222222222,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1
"21","8.2","0",0.363636363636364,"a",0.153846153846154,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1
"22","8.8","0",0,"a",0,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1
"23","9.4","0",0,"a",0,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1
"24","10","0",0,"a",0,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1
"25","7.1","1",0,"a",0,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1
"26","7.6","1",0.0714285714285714,"a",0.037037037037037,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1
"27","8.2","1",0,"a",0,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1
"28","8.8","1",0.222222222222222,"a",0.0833333333333333,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1
"29","9.4","1",0.125,"a",0.0434782608695652,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1
"30","10","1",0,"a",0,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1
"31","7.1","2",0.357142857142857,"a",0.172413793103448,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1
"32","7.6","2",0.5,"a",0.259259259259259,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1
"33","8.2","2",0.636363636363636,"a",0.269230769230769,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1
"34","8.8","2",0.777777777777778,"a",0.291666666666667,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1
"35","9.4","2",0.875,"a",0.304347826086957,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1
"36","10","2",1,"a",0.25,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1
"37","7.1","0",0.5,"n",0.172413793103448,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28
"38","7.6","0",0.428571428571429,"n",0.214285714285714,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28
"39","8.2","0",0.571428571428571,"n",0.296296296296296,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28
"40","8.8","0",0.6,"n",0.36,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28
"41","9.4","0",0.6,"n",0.391304347826087,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28
"42","10","0",0.6,"n",0.409090909090909,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28
"43","7.1","1",0,"n",0,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28
"44","7.6","1",0,"n",0,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28
"45","8.2","1",0.0714285714285714,"n",0.037037037037037,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28
"46","8.8","1",0.0666666666666667,"n",0.04,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28
"47","9.4","1",0.133333333333333,"n",0.0869565217391304,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28
"48","10","1",0.0666666666666667,"n",0.0454545454545455,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28
"49","7.1","2",0.5,"n",0.172413793103448,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28
"50","7.6","2",0.571428571428571,"n",0.285714285714286,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28
"51","8.2","2",0.357142857142857,"n",0.185185185185185,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28
"52","8.8","2",0.333333333333333,"n",0.2,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28
"53","9.4","2",0.266666666666667,"n",0.173913043478261,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28
"54","10","2",0.333333333333333,"n",0.227272727272727,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28
"55","7.1","0",0.578947368421053,"a",0.379310344827586,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28
"56","7.6","0",0.642857142857143,"a",0.321428571428571,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28
"57","8.2","0",0.461538461538462,"a",0.222222222222222,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28
"58","8.8","0",0.3,"a",0.12,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28
"59","9.4","0",0,"a",0,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28
"60","10","0",0,"a",0,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28
"61","7.1","1",0.0526315789473684,"a",0.0344827586206897,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28
"62","7.6","1",0,"a",0,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28
"63","8.2","1",0,"a",0,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28
"64","8.8","1",0,"a",0,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28
"65","9.4","1",0.125,"a",0.0434782608695652,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28
"66","10","1",0,"a",0,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28
