"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ka"
"88","17.1","2",0.127272727272727,"n",0.11864406779661,0.00843710959424007,26,0,59,0.155782896525993,1
"89","18.6","2",0.12962962962963,"n",0.11864406779661,0.00881927822177381,27.2,0,59,0.173638912815901,1
"90","20","2",0.145454545454545,"n",0.135593220338983,0.00910285006170468,28.5,0,59,0.189728834394545,1
"91","7.1","0",0,"a",0,0.0930401890130747,2.5,17.3,25,0.0581388249819421,1
"92","8.5","0",0,"a",0,0.0680384315753413,4.1,18.2,29,0.0774996901503023,1
"93","10","0",0,"a",0,0.100635511481372,3.6,22.8,25,0.112063315447455,1
"94","11.4","0",0,"a",0,0.113281627146777,3.6,25.2,24,0.137256635097068,1
"95","12.8","0",0,"a",0,0.0666138954538422,6.4,22.7,31,0.148256093072167,1
"96","14.3","0",0,"a",0,0.0949821342605709,5.3,27.6,27,0.183034129130455,1
"97","15.7","0",0,"a",0,0.0560104551876394,9.2,23.7,34,0.191424223305194,1
"98","17.1","0",0,"a",0,0.00843710959424007,26,0,59,0.155782896525993,1
"99","18.6","0",0,"a",0,0.00881927822177381,27.2,0,59,0.173638912815901,1
"100","20","0",0,"a",0,0.00910285006170468,28.5,0,59,0.189728834394545,1
"101","7.1","1",0,"a",0,0.0930401890130747,2.5,17.3,25,0.0581388249819421,1
"102","8.5","1",0,"a",0,0.0680384315753413,4.1,18.2,29,0.0774996901503023,1
"103","10","1",0,"a",0,0.100635511481372,3.6,22.8,25,0.112063315447455,1
"104","11.4","1",0,"a",0,0.113281627146777,3.6,25.2,24,0.137256635097068,1
"105","12.8","1",0,"a",0,0.0666138954538422,6.4,22.7,31,0.148256093072167,1
"106","14.3","1",0,"a",0,0.0949821342605709,5.3,27.6,27,0.183034129130455,1
"107","15.7","1",0,"a",0,0.0560104551876394,9.2,23.7,34,0.191424223305194,1
"108","17.1","1",0,"a",0,0.00843710959424007,26,0,59,0.155782896525993,1
"109","18.6","1",0,"a",0,0.00881927822177381,27.2,0,59,0.173638912815901,1
"110","20","1",0.25,"a",0.0169491525423729,0.00910285006170468,28.5,0,59,0.189728834394545,1
"111","7.1","2",1,"a",0.2,0.0930401890130747,2.5,17.3,25,0.0581388249819421,1
"112","8.5","2",1,"a",0.137931034482759,0.0680384315753413,4.1,18.2,29,0.0774996901503023,1
"113","10","2",1,"a",0.12,0.100635511481372,3.6,22.8,25,0.112063315447455,1
"114","11.4","2",1,"a",0.125,0.113281627146777,3.6,25.2,24,0.137256635097068,1
"115","12.8","2",1,"a",0.129032258064516,0.0666138954538422,6.4,22.7,31,0.148256093072167,1
"116","14.3","2",1,"a",0.148148148148148,0.0949821342605709,5.3,27.6,27,0.183034129130455,1
