"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba","Bn","Bn_Ba"
"189","18.6","0",0,"n",0,0.119459785027959,3.7,31.7,25,0.215228457834925,0.7,1,1.42857142857143
"190","20","0",0,"n",0,0.13135510680402,3.4,34.2,24,0.230483447571069,0.7,1,1.42857142857143
"191","7.1","1",0,"n",0,0.205730802820876,0.4,19.4,16,0.0581388249819421,0.7,1,1.42857142857143
"192","8.5","1",0,"n",0,0.155220048266679,1.3,21.9,19,0.0831983826400026,0.7,1,1.42857142857143
"193","10","1",0,"n",0,0.1963679416803,0.800000000000001,25.4,17,0.112063315447455,0.7,1,1.42857142857143
"194","11.4","1",0,"n",0,0.174732145539291,1.3,24.8,19,0.112063315447455,0.7,1,1.42857142857143
"195","12.8","1",0,"n",0,0.194744079612147,1.1,27.3,18,0.137256635097068,0.7,1,1.42857142857143
"196","14.3","1",0,"n",0,0.18304295332653,1.3,29,19,0.16046578081793,0.7,1,1.42857142857143
"197","15.7","1",0,"n",0,0.186410447030349,1.3,31.3,19,0.184258591645921,0.7,1,1.42857142857143
"198","17.1","1",0,"n",0,0.116682613267012,3.3,29.4,25,0.193166338484406,0.7,1,1.42857142857143
"199","18.6","1",0,"n",0,0.119459785027959,3.7,31.7,25,0.215228457834925,0.7,1,1.42857142857143
"200","20","1",0,"n",0,0.13135510680402,3.4,34.2,24,0.230483447571069,0.7,1,1.42857142857143
"201","7.1","2",1,"n",0.3125,0.205730802820876,0.4,19.4,16,0.0581388249819421,0.7,1,1.42857142857143
"202","8.5","2",0.5,"n",0.263157894736842,0.155220048266679,1.3,21.9,19,0.0831983826400026,0.7,1,1.42857142857143
"203","10","2",1,"n",0.294117647058824,0.1963679416803,0.800000000000001,25.4,17,0.112063315447455,0.7,1,1.42857142857143
"204","11.4","2",1,"n",0.263157894736842,0.174732145539291,1.3,24.8,19,0.112063315447455,0.7,1,1.42857142857143
"205","12.8","2",1,"n",0.277777777777778,0.194744079612147,1.1,27.3,18,0.137256635097068,0.7,1,1.42857142857143
"206","14.3","2",1,"n",0.263157894736842,0.18304295332653,1.3,29,19,0.16046578081793,0.7,1,1.42857142857143
"207","15.7","2",1,"n",0.263157894736842,0.186410447030349,1.3,31.3,19,0.184258591645921,0.7,1,1.42857142857143
"208","17.1","2",1,"n",0.2,0.116682613267012,3.3,29.4,25,0.193166338484406,0.7,1,1.42857142857143
"209","18.6","2",1,"n",0.2,0.119459785027959,3.7,31.7,25,0.215228457834925,0.7,1,1.42857142857143
"210","20","2",1,"n",0.208333333333333,0.13135510680402,3.4,34.2,24,0.230483447571069,0.7,1,1.42857142857143
"211","7.1","0",0.272727272727273,"a",0.1875,0.205730802820876,0.4,19.4,16,0.0581388249819421,0.7,1,1.42857142857143
"212","8.5","0",0.111111111111111,"a",0.0526315789473684,0.155220048266679,1.3,21.9,19,0.0831983826400026,0.7,1,1.42857142857143
"213","10","0",0.25,"a",0.176470588235294,0.1963679416803,0.800000000000001,25.4,17,0.112063315447455,0.7,1,1.42857142857143
"214","11.4","0",0.428571428571429,"a",0.315789473684211,0.174732145539291,1.3,24.8,19,0.112063315447455,0.7,1,1.42857142857143
"215","12.8","0",0.384615384615385,"a",0.277777777777778,0.194744079612147,1.1,27.3,18,0.137256635097068,0.7,1,1.42857142857143
"216","14.3","0",0.428571428571429,"a",0.315789473684211,0.18304295332653,1.3,29,19,0.16046578081793,0.7,1,1.42857142857143
"217","15.7","0",0.428571428571429,"a",0.315789473684211,0.186410447030349,1.3,31.3,19,0.184258591645921,0.7,1,1.42857142857143
"218","17.1","0",0.6,"a",0.48,0.116682613267012,3.3,29.4,25,0.193166338484406,0.7,1,1.42857142857143
"219","18.6","0",0.6,"a",0.48,0.119459785027959,3.7,31.7,25,0.215228457834925,0.7,1,1.42857142857143
"220","20","0",0.578947368421053,"a",0.458333333333333,0.13135510680402,3.4,34.2,24,0.230483447571069,0.7,1,1.42857142857143
"221","7.1","1",0.0909090909090909,"a",0.0625,0.205730802820876,0.4,19.4,16,0.0581388249819421,0.7,1,1.42857142857143
"222","8.5","1",0.111111111111111,"a",0.0526315789473684,0.155220048266679,1.3,21.9,19,0.0831983826400026,0.7,1,1.42857142857143
"223","10","1",0.25,"a",0.176470588235294,0.1963679416803,0.800000000000001,25.4,17,0.112063315447455,0.7,1,1.42857142857143
"224","11.4","1",0.0714285714285714,"a",0.0526315789473684,0.174732145539291,1.3,24.8,19,0.112063315447455,0.7,1,1.42857142857143
"225","12.8","1",0.0769230769230769,"a",0.0555555555555556,0.194744079612147,1.1,27.3,18,0.137256635097068,0.7,1,1.42857142857143
