"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","qn"
"280","20","0",0,"a",0,0.100355551961337,3.4,15.3,24,0.9
"281","7.1","1",0,"a",0,0.0876544933811112,3.6,14.1,25,0.9
"282","8.5","1",0,"a",0,0.0880958824485456,3.6,14.3,25,0.9
"283","10","1",0,"a",0,0.0885311075984768,3.6,14.3,25,0.9
"284","11.4","1",0,"a",0,0.0889603268756604,3.6,14.4,25,0.9
"285","12.8","1",0,"a",0,0.089383692418775,3.6,14.6,25,0.9
"286","14.3","1",0,"a",0,0.0986515746662332,3.4,15.1,24,0.9
"287","15.7","1",0.2,"a",0.0416666666666667,0.0978976145741566,3.4,15.1,24,0.9
"288","17.1","1",0.2,"a",0.0416666666666667,0.0983212381194813,3.4,15.3,24,0.9
"289","18.6","1",0.2,"a",0.0416666666666667,0.0987392674521335,3.4,15.3,24,0.9
"290","20","1",0,"a",0,0.100355551961337,3.4,15.3,24,0.9
"291","7.1","2",1,"a",0.2,0.0876544933811112,3.6,14.1,25,0.9
"292","8.5","2",1,"a",0.2,0.0880958824485456,3.6,14.3,25,0.9
"293","10","2",1,"a",0.2,0.0885311075984768,3.6,14.3,25,0.9
"294","11.4","2",1,"a",0.2,0.0889603268756604,3.6,14.4,25,0.9
"295","12.8","2",1,"a",0.2,0.089383692418775,3.6,14.6,25,0.9
"296","14.3","2",1,"a",0.208333333333333,0.0986515746662332,3.4,15.1,24,0.9
"297","15.7","2",0.8,"a",0.166666666666667,0.0978976145741566,3.4,15.1,24,0.9
"298","17.1","2",0.8,"a",0.166666666666667,0.0983212381194813,3.4,15.3,24,0.9
"299","18.6","2",0.8,"a",0.166666666666667,0.0987392674521335,3.4,15.3,24,0.9
"300","20","2",1,"a",0.208333333333333,0.100355551961337,3.4,15.3,24,0.9
