"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","ya","yn","yn_ya"
"256","14.3","1",0,"n",0,0.0936689250053992,3.2,14.8,25,0.9,1,1.11111111111111
"257","15.7","1",0.1,"n",0.0833333333333333,0.102133206414581,3.2,15.1,24,0.9,1,1.11111111111111
"258","17.1","1",0,"n",0,0.103781978900799,3,15.3,24,0.9,1,1.11111111111111
"259","18.6","1",0.19047619047619,"n",0.166666666666667,0.0996061616917196,3.4,15.3,24,0.9,1,1.11111111111111
"260","20","1",0.1,"n",0.0833333333333333,0.102302645856838,3.2,15.3,24,0.9,1,1.11111111111111
"261","7.1","2",0.4,"n",0.32,0.092472769977483,3.2,14.1,25,0.9,1,1.11111111111111
"262","8.5","2",0.4,"n",0.32,0.0919252292494478,3.2,14.3,25,0.9,1,1.11111111111111
"263","10","2",0.4,"n",0.32,0.0923702734239444,3.2,14.3,25,0.9,1,1.11111111111111
"264","11.4","2",0.4,"n",0.32,0.0928091333994437,3.2,14.4,25,0.9,1,1.11111111111111
"265","12.8","2",0.4,"n",0.32,0.0932419666998483,3.2,14.6,25,0.9,1,1.11111111111111
"266","14.3","2",0.4,"n",0.32,0.0936689250053992,3.2,14.8,25,0.9,1,1.11111111111111
"267","15.7","2",0.4,"n",0.333333333333333,0.102133206414581,3.2,15.1,24,0.9,1,1.11111111111111
"268","17.1","2",0.421052631578947,"n",0.333333333333333,0.103781978900799,3,15.3,24,0.9,1,1.11111111111111
"269","18.6","2",0.380952380952381,"n",0.333333333333333,0.0996061616917196,3.4,15.3,24,0.9,1,1.11111111111111
"270","20","2",0.4,"n",0.333333333333333,0.102302645856838,3.2,15.3,24,0.9,1,1.11111111111111
