"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W"
"285",45,"12.8",26,"o",0.89831352357059,0.00568238771395536,0,0.0100873868228767,24.8
"286",46,"12.8",26,"o",0.89831352357059,0.00583720379405488,0,0.00906163600047789,25.3
"287",47,"12.8",26,"o",0.89831352357059,0.00599811938482683,0,0.0081401901649034,25.8
"288",48,"12.8",26,"o",0.89831352357059,0.00616532493709021,0,0.00731244290956903,26.3
"289",49,"12.8",26,"o",0.89831352357059,0.0058931722989368,0,0.00656886635600373,26.8
"290",50,"12.8",26,"o",0.89831352357059,0.00620114314899938,0,0.00590090148212601,27.2
"291",51,"12.8",26,"o",0.89831352357059,0.00647040011130124,0,0.00530085960265153,27.6
"292",52,"12.8",26,"o",0.89831352357059,0.00675639906610415,0,0.00476183386761089,28
"293",53,"12.8",26,"o",0.89831352357059,0.00706003456852488,0,0.00427761976027131,28.4
"294",54,"12.8",26,"o",0.89831352357059,0.00720516422562924,0,0.0038426436793445,28.8
"295",55,"12.8",26,"o",0.89831352357059,0.00772126854174042,0,0.00345189878341821,29.1
"296",56,"12.8",26,"o",0.89831352357059,0.00828689653581781,0,0.00310088735914145,29.4
"297",57,"12.8",26,"o",0.89831352357059,0.0089087120743136,0,0.00278556904978585,29.7
"298",58,"12.8",26,"o",0.89831352357059,0.00959460041073852,0,0.00250231434826231,30
"299",59,"12.8",26,"o",0.89831352357059,0.0103539577654326,0,0.00224786281926876,30.3
"300",60,"12.8",26,"o",NA,NA,NA,NA,30.6
"301",1,"14.3",1,"a",0.899005764226372,0.00196844034158054,2,0.899005764226372,14.3
