"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yo"
"45","12.8","1",0.2,"a",0.0769230769230769,0.297994791925453,0.4,30.5,13,0.164894394888015,0.5
"46","14.3","1",0,"a",0,0.306709053208473,0.4,33.1,13,0.191228666627971,0.5
"47","15.7","1",0,"a",0,0.307388129029084,0.300000000000001,35.6,13,0.21549676253139,0.5
"48","17.1","1",0,"a",0,0.314645602925786,0.399999999999999,37.5,13,0.230911738247212,0.5
"49","18.6","1",0,"a",0,0.314616264710909,0.300000000000001,40.7,13,0.249983163523096,0.5
"50","20","1",0,"a",0,0.320789487784372,0.799999999999997,41,13,0.253134249050859,0.5
"51","7.1","2",1,"a",0.384615384615385,0.273950171129881,0,20,13,0.0618443470131054,0.5
"52","8.5","2",1,"a",0.384615384615385,0.278462931101883,0.300000000000001,22.3,13,0.0793680027773283,0.5
"53","10","2",1,"a",0.384615384615385,0.289752706715203,0.4,25.2,13,0.106269228814611,0.5
"54","11.4","2",0.8,"a",0.307692307692308,0.292582969230998,0.4,27.3,13,0.132011179941982,0.5
"55","12.8","2",0.8,"a",0.307692307692308,0.297994791925453,0.4,30.5,13,0.164894394888015,0.5
"56","14.3","2",1,"a",0.384615384615385,0.306709053208473,0.4,33.1,13,0.191228666627971,0.5
"57","15.7","2",1,"a",0.384615384615385,0.307388129029084,0.300000000000001,35.6,13,0.21549676253139,0.5
"58","17.1","2",1,"a",0.384615384615385,0.314645602925786,0.399999999999999,37.5,13,0.230911738247212,0.5
"59","18.6","2",1,"a",0.384615384615385,0.314616264710909,0.300000000000001,40.7,13,0.249983163523096,0.5
"60","20","2",1,"a",0.384615384615385,0.320789487784372,0.799999999999997,41,13,0.253134249050859,0.5
"61","7.1","0",0,"n",0,0.273950171129881,0,20,13,0.0607167373526208,0.7
"62","8.5","0",0,"n",0,0.278462931101883,0.300000000000001,22.3,13,0.0779362721396069,0.7
"63","10","0",0,"n",0,0.289752706715203,0.4,25.2,13,0.104375564075236,0.7
"64","11.4","0",0,"n",0,0.240260569625739,0.300000000000001,27.7,15,0.136722661972771,0.7
"65","12.8","0",0,"n",0,0.297994791925453,0.4,30.5,13,0.162009737449857,0.7
"66","14.3","0",0,"n",0,0.303031491951214,0.4,33.2,13,0.189787495031684,0.7
"67","15.7","0",0,"n",0,0.307388129029084,0.300000000000001,35.6,13,0.211779445371366,0.7
"68","17.1","0",0,"n",0,0.314645602925786,0.399999999999999,37.5,13,0.226946804761754,0.7
"69","18.6","0",0,"n",0,0.314616264710909,0.300000000000001,40.7,13,0.245720008530535,0.7
"70","20","0",0,"n",0,0.320789487784372,0.799999999999997,41,13,0.248824090232121,0.7
"71","7.1","1",0,"n",0,0.273950171129881,0,20,13,0.0607167373526208,0.7
"72","8.5","1",0.125,"n",0.0769230769230769,0.278462931101883,0.300000000000001,22.3,13,0.0779362721396069,0.7
"73","10","1",0,"n",0,0.289752706715203,0.4,25.2,13,0.104375564075236,0.7
"74","11.4","1",0.333333333333333,"n",0.266666666666667,0.240260569625739,0.300000000000001,27.7,15,0.136722661972771,0.7
"75","12.8","1",0,"n",0,0.297994791925453,0.4,30.5,13,0.162009737449857,0.7
"76","14.3","1",0,"n",0,0.303031491951214,0.4,33.2,13,0.189787495031684,0.7
"77","15.7","1",0.125,"n",0.0769230769230769,0.307388129029084,0.300000000000001,35.6,13,0.211779445371366,0.7
"78","17.1","1",0,"n",0,0.314645602925786,0.399999999999999,37.5,13,0.226946804761754,0.7
"79","18.6","1",0.125,"n",0.0769230769230769,0.314616264710909,0.300000000000001,40.7,13,0.245720008530535,0.7
"80","20","1",0,"n",0,0.320789487784372,0.799999999999997,41,13,0.248824090232121,0.7
"81","7.1","2",1,"n",0.615384615384615,0.273950171129881,0,20,13,0.0607167373526208,0.7
"82","8.5","2",0.875,"n",0.538461538461538,0.278462931101883,0.300000000000001,22.3,13,0.0779362721396069,0.7
"83","10","2",1,"n",0.615384615384615,0.289752706715203,0.4,25.2,13,0.104375564075236,0.7
"84","11.4","2",0.666666666666667,"n",0.533333333333333,0.240260569625739,0.300000000000001,27.7,15,0.136722661972771,0.7
"85","12.8","2",1,"n",0.615384615384615,0.297994791925453,0.4,30.5,13,0.162009737449857,0.7
"86","14.3","2",1,"n",0.615384615384615,0.303031491951214,0.4,33.2,13,0.189787495031684,0.7
"87","15.7","2",0.875,"n",0.538461538461538,0.307388129029084,0.300000000000001,35.6,13,0.211779445371366,0.7
"88","17.1","2",1,"n",0.615384615384615,0.314645602925786,0.399999999999999,37.5,13,0.226946804761754,0.7
