"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba","Bn","Bn_Ba"
"208","17.1","2",1,"n",0.0847457627118644,0.070566055724826,16,0,59,0.0950943526968115,0.7,1,1.42857142857143
"209","18.6","2",1,"n",0.0847457627118644,0.0716494564982685,17,0,59,0.111684035257892,0.7,1,1.42857142857143
"210","20","2",1,"n",0.0847457627118644,0.0736941134319464,17.7,0,59,0.126384171868446,0.7,1,1.42857142857143
"211","7.1","0",0.814814814814815,"a",0.745762711864407,0.0521741213643125,9.1,0,59,0.0241370347238594,0.7,1,1.42857142857143
"212","8.5","0",0.851851851851852,"a",0.779661016949153,0.0579251223401969,10.6,0,59,0.031398083020553,0.7,1,1.42857142857143
"213","10","0",0.833333333333333,"a",0.76271186440678,0.0592353484198646,11.2,0,59,0.0385543111286516,0.7,1,1.42857142857143
"214","11.4","0",0.851851851851852,"a",0.779661016949153,0.061693312312212,12.1,0,59,0.0460253342567671,0.7,1,1.42857142857143
"215","12.8","0",0.851851851851852,"a",0.779661016949153,0.0633690655724596,13.5,0,59,0.0579375643368429,0.7,1,1.42857142857143
"216","14.3","0",0.833333333333333,"a",0.76271186440678,0.0643117310045528,14.9,0,59,0.0737532363442949,0.7,1,1.42857142857143
"217","15.7","0",0.833333333333333,"a",0.76271186440678,0.0697414878653487,15,0,59,0.0816943558061772,0.7,1,1.42857142857143
"218","17.1","0",0.833333333333333,"a",0.76271186440678,0.070566055724826,16,0,59,0.0950943526968115,0.7,1,1.42857142857143
"219","18.6","0",0.833333333333333,"a",0.76271186440678,0.0716494564982685,17,0,59,0.111684035257892,0.7,1,1.42857142857143
"220","20","0",0.851851851851852,"a",0.779661016949153,0.0736941134319464,17.7,0,59,0.126384171868446,0.7,1,1.42857142857143
"221","7.1","1",0.0925925925925926,"a",0.0847457627118644,0.0521741213643125,9.1,0,59,0.0241370347238594,0.7,1,1.42857142857143
"222","8.5","1",0.0185185185185185,"a",0.0169491525423729,0.0579251223401969,10.6,0,59,0.031398083020553,0.7,1,1.42857142857143
"223","10","1",0.0555555555555556,"a",0.0508474576271186,0.0592353484198646,11.2,0,59,0.0385543111286516,0.7,1,1.42857142857143
"224","11.4","1",0.0185185185185185,"a",0.0169491525423729,0.061693312312212,12.1,0,59,0.0460253342567671,0.7,1,1.42857142857143
"225","12.8","1",0.0185185185185185,"a",0.0169491525423729,0.0633690655724596,13.5,0,59,0.0579375643368429,0.7,1,1.42857142857143
"226","14.3","1",0.0555555555555556,"a",0.0508474576271186,0.0643117310045528,14.9,0,59,0.0737532363442949,0.7,1,1.42857142857143
"227","15.7","1",0.0555555555555556,"a",0.0508474576271186,0.0697414878653487,15,0,59,0.0816943558061772,0.7,1,1.42857142857143
"228","17.1","1",0.0555555555555556,"a",0.0508474576271186,0.070566055724826,16,0,59,0.0950943526968115,0.7,1,1.42857142857143
"229","18.6","1",0.0555555555555556,"a",0.0508474576271186,0.0716494564982685,17,0,59,0.111684035257892,0.7,1,1.42857142857143
